Date, ,RAIN&nbsp, ,,
 , ,INCHES, ,
02/2001,,3.12,,
03/2001,,2.06,,
04/2001,,2.64,,
05/2001,,0.00,,
06/2001,,0.00,,
07/2001,,0.05,,
08/2001,,0.00,,
09/2001,,0.33,,
10/2001,,0.56,,
11/2001,,3.74,,
12/2001,,5.84,,
01/2002,,1.92,,
02/2002,,1.08,e,
03/2002,,2.02,,
04/2002,,0.49,,
05/2002,,0.83,,
06/2002,,0.00,,
07/2002,,0.00,,
08/2002,,0.00,,
09/2002,,0.03,,
10/2002,,0.00,,
11/2002,,2.86,,
12/2002,,4.95,,
01/2003,,0.86,,
02/2003,,1.58,,
03/2003,,1.66,,
04/2003,,4.40,,
05/2003,,1.82,,
06/2003,,0.00,,
07/2003,,0.01,,
08/2003,,0.46,,
09/2003,,0.11,,
10/2003,,0.02,,
11/2003,,1.78,,
12/2003,,4.82,,
01/2004,,1.38,,
02/2004,,4.10,,
03/2004,,1.10,,
04/2004,,0.03,r,
05/2004,,0.33,,
06/2004,,0.00,,
07/2004,,0.00,,
08/2004,,0.00,,
09/2004,,0.02,,
10/2004,,6.02,,
11/2004,,2.00,,
12/2004,,4.21,,
01/2005,,7.30,,
02/2005,,3.45,,
03/2005,,6.17,,
04/2005,,0.87,,
05/2005,,2.42,,
06/2005,,0.12,,
07/2005,,0.00,,
08/2005,,0.05,,
09/2005,,0.14,,
10/2005,,0.64,,
11/2005,,0.67,,
12/2005,,4.86,,
01/2006,,4.45,,
02/2006,,1.88,,
03/2006,,5.87,r,
04/2006,,5.80,r,
05/2006,,2.23,,
06/2006,,0.00,,
07/2006,,0.00,,
08/2006,,0.00,,
09/2006,,0.00,,
10/2006,,0.81,,
11/2006,,1.79,,
12/2006,,3.25,,
01/2007,,1.12,r,
02/2007,,4.02,r,
03/2007,,0.86,,
04/2007,,1.19,r,
05/2007,,0.26,,
06/2007,,0.00,,
07/2007,,0.01,,
08/2007,,0.00,,
09/2007,,0.07,,
10/2007,,2.39,,
11/2007,,0.31,,
12/2007,,2.83,,
01/2008,,7.93,r,
02/2008,,3.28,,
03/2008,,0.05,,
04/2008,,0.01,,
05/2008,,0.37,,
06/2008,,0.00,,
07/2008,,0.00,,
08/2008,,0.00,,
09/2008,,0.00,,
10/2008,,0.73,r,
11/2008,,1.46,,
12/2008,,2.50,,
01/2009,,3.40,e,
02/2009,,3.12,,
03/2009,,1.73,,
04/2009,,0.78,,
05/2009,,0.98,,
06/2009,,0.56,,
07/2009,,0.00,,
08/2009,,0.00,,
09/2009,,0.24,,
10/2009,,1.93,,
11/2009,,0.53,,
12/2009,,4.55,,
01/2010,,5.44,,
02/2010,,3.68,,
03/2010,,2.08,,
04/2010,,5.84,,
05/2010,,0.53,,
06/2010,,0.03,,
07/2010,,0.00,,
08/2010,,0.00,e,
09/2010,,0.00,,
10/2010,,1.52,e,
11/2010,,3.43,,
12/2010,,7.63,,
01/2011,,2.02,,
02/2011,,3.83,,
03/2011,,7.35,,
04/2011,,0.72,,
05/2011,,1.44,,
06/2011,,2.03,,
07/2011,,0.00,,
08/2011,,0.00,,
09/2011,,0.01,,
10/2011,,1.21,,
11/2011,,0.73,,
12/2011,,0.00,,
01/2012,,2.47,,
02/2012,,1.03,,
03/2012,,4.47,,
04/2012,,3.62,,
05/2012,,0.00,,
06/2012,,0.27,,
07/2012,,0.01,,
08/2012,,0.00,,
09/2012,,0.08,,
10/2012,,0.23,,
11/2012,,1.57,,
12/2012,,6.13,,
01/2013,,0.94,,
02/2013,,0.65,,
03/2013,,1.55,,
04/2013,,0.61,,
05/2013,,0.63,,
06/2013,,0.09,,
07/2013,,0.00,,
08/2013,,0.00,,
09/2013,,0.00,,
10/2013,,0.06,,
11/2013,,0.93,,
12/2013,,0.53,,
01/2014,,1.06,,
02/2014,,2.47,,
03/2014,,1.83,,
04/2014,,1.06,,
05/2014,,0.04,,
06/2014,,0.00,,
07/2014,,0.00,,
08/2014,,0.03,,
09/2014,,0.01,,
10/2014,,1.47,,
11/2014,,0.63,,
12/2014,,3.95,,
01/2015,,0.03,,
02/2015,,1.41,,
03/2015,,0.14,,
04/2015,,1.22,,
05/2015,,0.17,,
06/2015,,0.00,,
07/2015,,0.01,,
08/2015,,0.00,,
09/2015,,0.01,,
10/2015,,0.76,,
11/2015,,4.49,,
12/2015,,5.32,,
01/2016,,--,,
